country,lifeEx_m,lifeEx_f,married_by_18,mobile_money_m,mobile_money_m,employment_m,eomployment_f,firm_f_ownership,share_senior_f,parlia_w
Panama,75.6,81.9,26.4,50.9,42.3,59.2,63.3,..,43.5,23
Papua New Guinea,63.5,66.1,27.3,..,..,34.9,15.1,46.5,..,0
Paraguay,72.4,76.5,21.6,51.2,46,57,57,66.2,..,16
Peru,74.3,79.7,17.4,51,34.4,49.5,38.7,56.6,..,40
Philippines,67.4,75.6,16.5,30,38.9,66,60.4,69.2,23.2,28
Poland,72.6,80.8,..,85.4,88,76.5,84.3,40.2,38.2,28
Portugal,78,84.1,..,94.2,90.6,79.3,87.2,..,30.4,40
Puerto Rico,76.7,83.6,..,..,..,76.4,90.7,..,..,..
Qatar,79.3,82.1,..,..,..,99.6,99.4,..,..,4
Romania,70.5,78.4,..,62.4,53.6,74.5,77.4,47.2,30.1,19
Russian Federation,66.5,76.4,..,75.3,76.1,90.5,93.3,28.5,39.3,16
Rwanda,67.1,71.5,5.5,55.7,45,44.4,23.7,42.7,36.3,61
Samoa,71.4,75.6,7.4,..,..,64.3,75.8,..,43,8
San Marino,..,..,..,..,..,..,..,..,..,33
Sao Tome and Principe,68.2,73,28,..,..,43.1,43.1,..,..,24
Saudi Arabia,74.1,76.9,..,80.5,58.2,94.9,98.7,..,..,20
Senegal,66,70.2,30.5,46.7,38.4,40.8,29.8,22.9,..,43
Serbia,71.4,77.2,5.5,72.9,70.1,69,76.5,34.9,30.3,39
Seychelles,72.7,82,..,..,..,..,..,..,43.8,23
Sierra Leone,54.2,55.9,29.6,24.8,15.4,15.3,4,18.8,..,12
Singapore,81.5,86.1,0.1,99.7,96.3,83.1,91.3,..,..,30
Sint Maarten (Dutch part),..,..,..,..,..,..,..,..,..,..
Slovak Republic,73.5,80.4,..,85.3,83.1,80.7,90.1,29.7,30.3,23
Slovenia,77.8,83.4,..,98.2,96.9,83,90.3,38.5,41.9,27
Solomon Islands,71.4,75,21.3,..,..,46.1,27.6,47.4,25.1,8
Somalia,56,59.4,35.5,..,..,9.9,3.1,..,..,24
South Africa,61,67.9,3.6,68.4,70,81.3,86.7,..,35.2,47
South Sudan,56.6,59.6,..,12.5,4.7,12.3,4.4,21.9,..,32
Spain,79.7,85.1,..,95.9,91.6,81,88.3,..,30.9,43
Sri Lanka,73.8,80.4,9.8,73.9,73.4,58,58.9,26.1,23.2,5
St. Kitts and Nevis,..,..,..,..,..,..,..,..,..,25
St. Lucia,75,77.7,..,..,..,65.8,78.4,..,..,11
St. Martin (French part),77,83.4,..,..,..,..,..,..,..,..
St. Vincent and the Grenadines,70.4,75.3,..,..,..,70.7,78.1,..,..,18
Sudan,63.7,67.4,34.2,..,..,48.9,36.5,8.2,..,..
Suriname,68.6,75.2,36,..,..,83.3,89.3,32.7,42.2,29
Sweden,80.7,84.2,..,99.5,100,86.4,94.3,52.5,39.4,47
Switzerland,81.1,85.2,..,98,98.9,84,87.5,..,28.8,43
Syrian Arab Republic,69.4,78.4,..,..,..,55.1,92.4,..,..,11
Tajikistan,69.1,73.6,8.7,52.1,42.1,72.9,68,32.5,..,24
Tanzania,64,67.6,30.5,51.6,42.2,19.7,12.6,24.7,17.3,37
Thailand,73.7,81.1,20.2,83.7,79.8,49.7,49.7,64.4,30.8,16
Timor-Leste,67.7,71.9,14.9,..,..,39.9,19.9,64.4,33,38
Togo,60.4,62.2,24.8,53,37.6,35.8,11.4,25.3,29.5,19
Tonga,69.1,73,10.1,..,..,53.6,50.8,..,..,0
Trinidad and Tobago,71,76.4,..,88.2,73.6,69.2,83.4,..,..,26
Tunisia,74.9,78.9,1.5,45.7,28.4,71.4,85.7,49.5,..,26
Turkey,75,80.8,14.7,83,54.3,69.3,66.7,25.1,17.3,17
Turkmenistan,64.8,71.9,6.1,45.7,35.5,70.5,64.7,..,..,25
Turks and Caicos Islands,..,..,..,..,..,..,..,..,..,..
