,gni_pc,married_by_18,firm_f_ownership,share_senior_f,parlia_w,fertility,birth_register,water_perc,elec_perc,homocides,Internetuse,poverty,literacy,life_expectancy,country,employment_gap,mobilemoney_access_gap
199,3370.0,,32.2,,21.0,1.3699999999999999,99.8,89.0,100.0,6.3,58.9,0.0,99.97434998,71.57048780400001,Ukraine,-4.799999999999997,3.700000000000003
200,43470.0,,,12.2,50.0,1.4634285714285713,100.0,,100.0,0.6,94.8,0.0,97.55692291,77.80460000000001,United Arab Emirates,0.7999999999999972,16.299999999999997
201,42220.0,0.1,,34.4,34.0,1.7157142857142857,100.0,99.8,100.0,1.0,90.4,0.2285714285714286,,81.15512195000001,United Kingdom,-8.400000000000006,0.6000000000000085
202,65850.0,,,40.5,28.0,1.7664285714285715,100.0,97.3,100.0,4.9,87.3,1.0666666666666669,,78.35707317,United States,-1.9000000000000057,0.8999999999999915
203,16230.0,24.6,37.0,35.0,24.0,1.9801428571428572,99.9,,99.8,8.6,70.3,0.13,98.52298990888889,77.7734,Uruguay,-5.900000000000006,6.999999999999993
204,1800.0,,29.0,,33.0,2.587285714285714,,58.8,100.0,1.6,48.7,,99.98977533833333,71.541,Uzbekistan,0.0,2.299999999999997
205,3210.0,21.4,,,0.0,3.8212857142857146,43.4,,62.8,,25.7,8.6,86.10315323,70.3226,Vanuatu,4.799999999999997,
206,,,,,22.0,2.295428571428572,81.0,,99.2,52.0,57.0,,96.16750844333335,72.1818,Venezuela RB,-1.2000000000000028,7.299999999999997
207,2590.0,10.6,51.1,,30.0,2.032428571428571,96.1,,100.0,,58.1,2.225,95.7538681,75.3246,Vietnam,8.799999999999997,0.8000000000000007
208,,,,,,2.0728571428571425,,97.9,100.0,49.3,64.4,,,79.508780488,Virgin Islands (U.S.),0.0,
209,4190.0,13.4,10.7,15.5,,3.7565714285714287,98.13333333333333,79.7,99.7,1.2,63.3,0.5,96.51878280599999,73.898,West Bank and Gaza,-7.0,18.5
210,940.0,31.9,6.6,4.5,0.0,3.9010000000000002,23.9,,79.2,6.8,26.7,18.3,,66.115,Yemen Rep.,7.0,
211,1430.0,29.0,43.7,28.5,15.0,4.7377142857142855,12.7,,40.3,5.4,,58.7,86.74796295,63.419399999999996,Zambia,16.7,11.400000000000006
212,1390.0,33.7,42.5,22.8,32.0,3.7124285714285716,40.625,29.5,40.1,7.5,24.4,31.599999999999998,86.13806534,61.1058,Zimbabwe,22.0,7.5
