,Unnamed: 0,country,gni_pc,married_by_18,firm_f_ownership,share_senior_f,parlia_w,fertility,birth_register,water_perc,elec_perc,homocides,Internetuse,poverty,literacy,life_expectancy,employment_gap,mobilemoney_access_gap,cluster
51,51,Curacao,20350.0,21.35,34.9,30.3,24.0,1.7142857142857142,96.8,88.95,100.0,2.8,68.1,2.2625,92.97438939499999,77.868292685,0.0,5.700000000000003,0
52,52,Cyprus,27710.0,21.35,34.9,27.0,14.0,1.3375714285714284,100.0,99.8,100.0,1.3,80.7,0.0444444444444444,98.67842865,80.826,-5.799999999999997,-2.700000000000003,0
53,53,Czech Republic,21940.0,21.35,30.4,24.1,25.0,1.65,100.0,97.9,100.0,0.8,78.7,0.0,92.97438939499999,78.89804878,-8.100000000000009,5.0,0
54,54,Denmark,63950.0,21.35,34.9,27.0,40.0,1.72,100.0,96.7,100.0,1.1,97.1,0.1777777777777777,92.97438939499999,81.18243902399999,-5.599999999999994,-0.2000000000000028,0
55,55,Djibouti,3310.0,21.35,22.3,30.3,26.0,2.7935714285714286,96.8,88.95,60.2,2.8,55.7,19.166666666666668,92.97438939499999,66.42819999999999,12.300000000000004,5.700000000000003,0
56,56,Dominica,7920.0,21.35,34.9,30.3,34.0,2.210857142857143,96.8,88.95,100.0,12.6,69.6,2.2625,92.97438939499999,74.197036586,0.0,5.700000000000003,0
57,57,Dominican Republic,8080.0,35.9,32.2,50.5,28.0,2.364285714285714,86.35,88.95,100.0,17.8,67.6,1.57,91.442189535,73.878,-20.2,4.299999999999997,0
58,58,Ecuador,6090.0,22.2,70.4,35.2,39.0,2.451,89.36666666666667,66.8,99.2,6.5,54.1,3.87,93.30383396125,76.795,14.9,17.6,0
59,59,Egypt Arab Rep.,2690.0,17.4,17.8,30.3,28.0,3.357,99.4,88.95,100.0,2.6,45.0,2.3000000000000003,72.49211375,71.82060000000001,1.2000000000000028,11.700000000000005,0
60,60,El Salvador,4000.0,25.5,38.4,32.7,27.0,2.061,94.85,88.95,96.8,105.2,33.8,2.7111111111111112,87.85748727,73.09240000000001,14.199999999999996,13.200000000000005,0
61,61,Equatorial Guinea,6460.0,21.35,34.9,30.3,23.0,4.601428571428571,96.8,88.95,66.3,2.8,18.9,2.2625,92.97438939499999,58.393600000000006,0.0,5.700000000000003,1
62,62,Eritrea,6090.0,21.35,34.9,30.3,22.0,4.107428571428572,96.8,88.95,48.0,2.8,1.3,2.2625,76.57051849,65.918,0.0,5.700000000000003,1
63,63,Estonia,23260.0,21.35,38.3,34.3,26.0,1.602857142857143,100.0,95.8,100.0,3.4,88.1,0.588888888888889,99.88578796,78.19414634,-7.5,-0.9000000000000057,0
64,64,Eswatini,3670.0,5.3,36.0,54.6,10.0,3.012571428571429,53.5,88.95,73.5,10.1,25.6,29.2,88.41938019,59.119400000000006,11.600000000000009,5.700000000000003,1
65,65,Ethiopia,850.0,40.3,36.2,21.1,43.0,4.355428571428571,2.7,12.6,44.3,8.8,18.6,30.8,51.7711792,66.2288,4.6,11.799999999999995,1
66,66,Faroe Islands,6090.0,21.35,34.9,30.3,24.0,2.4714285714285715,96.8,88.95,100.0,2.8,97.6,2.2625,92.97438939499999,82.56292683199999,0.0,5.700000000000003,0
67,67,Fiji,5800.0,21.35,34.9,38.6,22.0,2.7767142857142857,86.6,88.95,96.0,2.3,50.0,1.55,92.97438939499999,67.3546,9.0,5.700000000000003,0
68,68,Finland,50010.0,0.0,34.9,31.5,46.0,1.5071428571428571,100.0,99.6,100.0,1.5,87.5,0.0666666666666666,92.97438939499999,81.78195122,-7.299999999999997,0.4000000000000057,0
69,69,France,42450.0,21.35,34.9,32.6,40.0,1.9042857142857144,100.0,99.2,100.0,1.6,80.5,0.05,92.97438939499999,82.565365856,-6.599999999999994,5.700000000000003,0
70,70,French Polynesia,6090.0,21.35,34.9,30.3,24.0,1.9582857142857144,96.8,83.9,100.0,2.8,72.7,2.2625,92.97438939499999,77.446,-7.0,5.700000000000003,0
71,71,Gabon,7170.0,21.35,34.9,30.3,16.0,3.9934285714285713,89.6,88.95,86.3,2.8,50.3,3.4,83.47547912499999,66.1202,5.199999999999996,10.099999999999994,0
72,72,Gambia The,750.0,23.1,16.8,33.7,9.0,5.272285714285714,62.96666666666667,44.7,56.2,2.8,32.0,10.3,46.364009855,61.7548,18.200000000000003,5.700000000000003,1
73,73,Georgia,4780.0,13.9,36.1,30.3,19.0,2.052285714285714,99.23333333333332,66.4,100.0,2.7,59.7,5.590000000000001,99.50296274666668,73.58139999999999,-6.200000000000003,-5.100000000000001,0
74,74,Germany,48580.0,21.35,34.9,28.2,35.0,1.5400000000000005,100.0,100.0,100.0,0.8,84.4,0.025,92.97438939499999,81.02195121999999,-4.900000000000006,-0.1000000000000085,0
75,75,Ghana,2220.0,19.3,31.6,26.6,15.0,3.928142857142857,70.55,41.4,79.0,1.9,37.9,11.95,79.03964233,63.7576,16.199999999999996,8.099999999999994,1
76,76,Greece,19750.0,21.35,45.9,29.7,22.0,1.3414285714285714,100.0,100.0,100.0,0.9,69.9,1.0444444444444445,97.65234375,81.43804878200001,-9.200000000000005,1.9000000000000057,0
